         2957751 function calls (2957677 primitive calls) in 7.699 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.5/platform.py:973(uname)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.5/platform.py:830(_syscmd_uname)
      292    0.000    0.000    0.008    0.000 /home/hcui7/repos/andes_github/andes/models/vsc.py:691(pll_jac0)
       47    0.000    0.000    0.008    0.000 /usr/lib/python3.5/logging/__init__.py:1830(info)
      292    0.001    0.000    0.008    0.000 /home/hcui7/repos/andes_github/andes/models/governor.py:62(jac0)
       47    0.000    0.000    0.008    0.000 /usr/lib/python3.5/logging/__init__.py:1269(info)
     1544    0.004    0.000    0.007    0.000 /home/hcui7/repos/andes_github/andes/variables/dae.py:46(init_g)
       47    0.000    0.000    0.007    0.000 /usr/lib/python3.5/logging/__init__.py:1392(_log)
     1279    0.007    0.000    0.007    0.000 /home/hcui7/repos/andes_github/andes/models/fault.py:51(get_times)
    21/19    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:659(exec_module)
     1540    0.007    0.000    0.007    0.000 /home/hcui7/repos/andes_github/andes/models/dcbase.py:516(gcall)
       53    0.000    0.000    0.007    0.000 /usr/lib/python3.5/traceback.py:196(extract_stack)
       53    0.002    0.000    0.007    0.000 /usr/lib/python3.5/traceback.py:313(extract)
     1538    0.006    0.000    0.007    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:17(mmax)
      295    0.000    0.000    0.007    0.000 /home/hcui7/repos/andes_github/andes/variables/dae.py:78(init_jac0)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.5/os.py:1023(popen)
     1540    0.002    0.000    0.006    0.000 /home/hcui7/repos/andes_github/andes/models/vsc.py:271(gycall)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.5/subprocess.py:834(__init__)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.5/subprocess.py:1428(_execute_child)
     1540    0.003    0.000    0.006    0.000 /home/hcui7/repos/andes_github/andes/models/dcbase.py:204(fcall)
     1535    0.004    0.000    0.006    0.000 /home/hcui7/repos/andes_github/andes/models/wind.py:97(fcall)
    24/20    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
     4761    0.005    0.000    0.005    0.000 {method 'imag' of 'cvxopt.base.matrix' objects}
    47959    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
      639    0.001    0.000    0.005    0.000 /home/hcui7/repos/andes_github/andes/models/fault.py:57(istime)
       21    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:729(get_code)
       47    0.000    0.000    0.005    0.000 /usr/lib/python3.5/logging/__init__.py:1417(handle)
    21492    0.005    0.000    0.005    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:48(<lambda>)
       47    0.000    0.000    0.005    0.000 /usr/lib/python3.5/logging/__init__.py:1471(callHandlers)
       47    0.000    0.000    0.005    0.000 /usr/lib/python3.5/logging/__init__.py:842(handle)
     1542    0.002    0.000    0.004    0.000 /home/hcui7/repos/andes_github/andes/models/vsc.py:146(gcall)
        1    0.000    0.000    0.004    0.004 /home/hcui7/repos/andes_github/andes/system.py:92(setup)
       47    0.000    0.000    0.004    0.000 /usr/lib/python3.5/logging/__init__.py:968(emit)
      293    0.000    0.000    0.004    0.000 /home/hcui7/repos/andes_github/andes/models/dcbase.py:65(jac0)
     3654    0.002    0.000    0.004    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:98(<lambda>)
     1535    0.001    0.000    0.004    0.000 /home/hcui7/repos/andes_github/andes/models/fault.py:93(gycall)
        1    0.000    0.000    0.004    0.004 /home/hcui7/repos/andes_github/andes/system.py:151(td_init)
     7746    0.004    0.000    0.004    0.000 {built-in method cvxopt.base.cos}
      809    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
      295    0.004    0.000    0.004    0.000 /home/hcui7/repos/andes_github/andes/variables/dae.py:73(init_Fx0)
     7746    0.004    0.000    0.004    0.000 {built-in method cvxopt.base.sin}
        1    0.000    0.000    0.004    0.004 /home/hcui7/repos/andes_github/andes/variables/report.py:109(write)
    21492    0.004    0.000    0.004    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:41(<lambda>)
        4    0.000    0.000    0.004    0.001 /home/hcui7/repos/andes_github/andes/models/jit.py:41(add)
        4    0.000    0.000    0.004    0.001 /home/hcui7/repos/andes_github/andes/models/jit.py:15(jit_load)
     1535    0.004    0.000    0.004    0.000 /home/hcui7/repos/andes_github/andes/models/vsc.py:688(pll_gcall)
        1    0.000    0.000    0.003    0.003 /home/hcui7/repos/andes_github/andes/system.py:139(init_pf)
       22    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
      584    0.003    0.000    0.003    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:147(<listcomp>)
        1    0.003    0.003    0.003    0.003 {built-in method posix.read}
        1    0.000    0.000    0.003    0.003 /home/hcui7/repos/andes_github/andes/models/bus.py:92(init0)
       92    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
        1    0.000    0.000    0.003    0.003 /home/hcui7/.local/lib/python3.5/site-packages/cvxopt-1.2.0-py3.5-linux-x86_64.egg/cvxopt/__init__.py:89(uniform)
        1    0.000    0.000    0.003    0.003 {built-in method builtins.__import__}
       21    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:903(create_module)
        1    0.003    0.003    0.003    0.003 {built-in method _imp.create_dynamic}
        1    0.001    0.001    0.003    0.003 /home/hcui7/repos/andes_github/andes/formats/txt.py:26(dump_data)
       21    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
     7317    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.003    0.003 /home/hcui7/repos/andes_github/andes/variables/call.py:41(setup)
      373    0.000    0.000    0.003    0.000 /usr/lib/python3.5/traceback.py:279(line)
     3654    0.002    0.000    0.002    0.000 {built-in method math.floor}
     1556    0.002    0.000    0.002    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:111(zeros)
      295    0.002    0.000    0.002    0.000 /home/hcui7/repos/andes_github/andes/variables/dae.py:70(init_Gy0)
     3080    0.002    0.000    0.002    0.000 {method 'imag' of 'cvxopt.base.spmatrix' objects}
        1    0.002    0.002    0.002    0.002 {built-in method _posixsubprocess.fork_exec}
      320    0.000    0.000    0.002    0.000 /usr/lib/python3.5/linecache.py:15(getline)
        1    0.002    0.002    0.002    0.002 {method 'read' of '_io.TextIOWrapper' objects}
     1282    0.002    0.000    0.002    0.000 /home/hcui7/repos/andes_github/andes/models/zone.py:120(<listcomp>)
       47    0.000    0.000    0.002    0.000 /usr/lib/python3.5/logging/__init__.py:1377(makeRecord)
     1828    0.002    0.000    0.002    0.000 /home/hcui7/repos/andes_github/andes/settings/settings.py:34(wb)
     3080    0.002    0.000    0.002    0.000 {method 'real' of 'cvxopt.base.spmatrix' objects}
       47    0.001    0.000    0.002    0.000 /usr/lib/python3.5/logging/__init__.py:243(__init__)
      320    0.000    0.000    0.002    0.000 /usr/lib/python3.5/linecache.py:37(getlines)
     1535    0.001    0.000    0.002    0.000 /home/hcui7/repos/andes_github/andes/models/fault.py:84(gcall)
      176    0.001    0.000    0.002    0.000 /home/hcui7/repos/andes_github/andes/variables/varname.py:38(append)
      205    0.000    0.000    0.002    0.000 /usr/lib/python3.5/linecache.py:53(checkcache)
       10    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.002    0.002 /home/hcui7/repos/andes_github/andes/system.py:132(xy_addr1)
      271    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        8    0.000    0.000    0.001    0.000 /usr/lib/python3.5/linecache.py:82(updatecache)
      663    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     1540    0.001    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/models/pv.py:117(gycall)
       39    0.000    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/models/base.py:480(_varname)
     2180    0.001    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/models/bus.py:101(gisland)
        1    0.000    0.000    0.001    0.001 /home/hcui7/repos/andes_github/andes/system.py:119(dev_setup)
        1    0.000    0.000    0.001    0.001 /home/hcui7/repos/andes_github/andes/variables/varout.py:69(_write_lst)
       65    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:879(_find_spec)
     4768    0.001    0.000    0.001    0.000 {method 'real' of 'cvxopt.base.matrix' objects}
     1282    0.001    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/models/zone.py:132(<listcomp>)
     1540    0.001    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/models/bus.py:124(gyisland)
        6    0.000    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/utils/logger.py:119(debug)
     1978    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     3663    0.001    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:35(<lambda>)
      105    0.001    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/models/base.py:246(add)
       41    0.001    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/models/base.py:31(__init__)
